650.39	0.005
650.73	0.044
651.06	0.131
651.40	0.174
651.74	0.317
652.08	0.375
652.42	0.430
652.75	0.561
653.09	0.854
653.43	1.159
653.77	1.448
654.10	2.016
654.44	2.630
654.78	3.504
655.12	4.838
655.45	6.527
655.79	8.720
656.13	11.413
656.46	14.678
656.80	18.243
657.14	22.582
657.48	27.011
657.81	32.108
658.15	37.343
658.49	43.242
658.82	49.351
659.16	55.679
659.50	62.094
659.83	67.800
660.17	73.540
660.51	78.231
660.84	82.180
661.18	85.071
661.52	86.680
661.85	87.593
662.19	87.769
662.53	87.687
662.86	87.079
663.20	86.346
663.53	84.541
663.87	82.223
664.21	79.448
664.54	75.807
664.88	70.395
665.21	64.167
665.55	56.363
665.89	47.645
666.22	38.964
666.56	30.519
666.89	23.341
667.23	17.388
667.57	12.695
667.90	9.367
668.24	6.725
668.57	4.919
668.91	3.608
669.24	2.805
669.58	2.106
669.91	1.586
670.25	1.142
670.59	0.877
670.92	0.752
671.26	0.434
671.59	0.439
671.93	0.412
672.26	0.352
672.60	0.346
672.93	0.225
673.27	0.045
673.60	0.112
673.94	0.017
