646.67	0.29
647.01	0.36
647.35	0.43
647.68	0.45
648.02	0.68
648.36	0.87
648.70	1.01
649.04	1.31
649.38	1.89
649.71	2.63
650.05	3.59
650.39	4.93
650.73	7.00
651.06	9.62
651.40	13.19
651.74	17.87
652.08	23.80
652.42	30.33
652.75	37.97
653.09	45.68
653.43	53.55
653.77	60.84
654.10	67.27
654.44	72.81
654.78	77.80
655.12	81.09
655.45	83.40
655.79	84.82
656.13	85.18
656.46	84.57
656.80	83.66
657.14	82.04
657.48	80.09
657.81	77.28
658.15	74.89
658.49	71.63
658.82	67.53
659.16	62.72
659.50	57.42
659.83	52.05
660.17	45.82
660.51	39.03
660.84	32.40
661.18	25.98
661.52	20.52
661.85	15.75
662.19	11.79
662.53	8.74
662.86	6.32
663.20	4.68
663.53	3.47
663.87	2.54
664.21	1.80
664.54	1.37
664.88	1.06
665.21	0.84
665.55	0.47
665.89	0.42
666.22	0.43
666.56	0.31
666.89	0.22
667.23	0.13
667.57	0.06
667.90	0.03
